せんだん の ほとけ ほの てる ともしび の ゆらら ゆららに まつ の かぜ ふく,南京新唱,唐招提寺にて

とこしへ に ねむりて おはせ おほてら の いま の すがた に うちなかむ よ は,南京新唱,開山堂なる鑑真の像に

しぐれ ふる のずゑ の むら の このま より み いでて うれし やくしじ の たふ,南京新唱,大安寺をいでて薬師寺をのぞむ

くさ に ねて あふげば のき の あをぞら に すずめ かつ とぶ やくしじ の たふ,南京新唱,薬師寺東塔

すゐえん の あま つ をとめ が ころもで の ひま にも すめる あき の そら かな,南京新唱,薬師寺東塔

あらし ふく ふるき みやこ の なかぞら の いりひ の くも に もゆる たふ かな,南京新唱,薬師寺東塔

いかるが の さと の をとめ は よもすがら きぬはた おれり あき ちかみ かも,南京新唱,法隆寺村にやどりて

うまやど の みこ の まつり も ちかづきぬ まつ みどり なる いかるが の さと,南京新唱,御遠忌近き頃法隆寺村にいたりて

いかるが の さとびと こぞり いにしへ に よみがえる べき はる は き むかふ,南京新唱,御遠忌近き頃法隆寺村にいたりて

うまやど の みこ の みこと は いつ の よ の いかなる ひと か あふが ざらめ や,南京新唱,御遠忌近き頃法隆寺村にいたりて

みとらし の あづさ の まゆみ つる はけて ひきて かへらぬ いにしへ あはれ,南京新唱,御遠忌近き頃法隆寺村にいたりて

おし ひらく おもき とびら の あひだ より はや みえ たまふ みほとけ の かほ,南京新唱,法隆寺の金堂にて

たち いでて とどろと とざす こんだう の とびら の おと に くるる けふ かな,南京新唱,法隆寺の金堂にて

ちとせ あまり みたび めぐれる ももとせ を ひとひ の ごとく たてる この たふ,南京新唱,五重塔をあふぎみて

あめつち に われ ひとり ゐて たつ ごとき この さびしさ を きみ は ほほゑむ,南京新唱,夢殿の救世観音に

あまた みし てら には あれど あき の ひ に もゆる いらか は けふ みつる かも,南京新唱,病中法隆寺をよぎりて

うつしよ の かたみ に せむ と いたづき の み を うながして み に こし われ は,南京新唱,病中法隆寺をよぎりて

いたづき の まくら に さめし ゆめ の ごと かべゑ の ほとけ うすれ ゆく はや,南京新唱,病中法隆寺をよぎりて

ひとり きて めぐる みだう の かべ の ゑ の ほとけ の くに も あれ に ける かも,南京新唱,病中法隆寺をよぎりて

おほてら の かべ の ふるゑ に うすれたる ほとけ の まなこ われ を み まもる,南京新唱,病中法隆寺をよぎりて

うすれ ゆく かべゑ の ほろけ もろとも に わが たま の を の たえぬ とも よし,南京新唱,病中法隆寺をよぎりて

ほろび ゆく ちとせ の のち の この てら に いづれ の ほとけ あり たたす らむ,南京新唱,病中法隆寺をよぎりて

みほとけ の あご と ひじ とに あまでら の あさ の ひかり の ともしきろ かも,南京新唱,中宮寺にて

みとらし の はちす に のこる あせいろ の みどり な ふき そ こがらし の かぜ,南京新唱,法輪寺にて

あま つ かぜ ふき の すさみ に ふたがみ の を さへ みね さへ かつらぎ の くも,南京新唱,二上山をのぞみて

ふたがみ の てら の きざはし あき たけて やま の しづく に ぬれぬ ひ ぞ なき,南京新唱,当麻寺にて

ふたがみ の すそ の たかむら ひるがへし かぜ ふき いでぬ たふ の ひさし に,南京新唱,当麻寺にて

おに ひとつ ぎやうじや の ひざ を ぬけ いでて あられ うつ らむ ふたがみ の さと,南京新唱,当麻寺に役小角の木像を見て

あしびき の やま の はざま の いはかど の つらら に にたる きみ が あごひげ,南京新唱,当麻寺に役小角の木像を見て

やまと より ふき くる かぜ を よもすがら やま の こぬれ に きき あかし つつ,南京新唱,河内国磯長の御陵にて太子をおもふ

さきだちて そう が ささぐる ともしび に くしき ほとけ の まゆ あらは なり,南京新唱,観心寺の本尊如意輪観音を拝して

なまめきて ひざ に たてたる しろたへ の ほとけ の ひぢ は うつつ とも なし,南京新唱,観心寺の本尊如意輪観音を拝して

くろごま の あさ の あがき に ふませたる をか の くさね と なづさひ ぞ こし,南京新唱,橘寺にて

よ を そしる まづしき そう の まもり こし この くさむら の しろき いしずゑ,南京新唱,弘福寺の僧と談りて

みみ しふ と ぬかづく ひと も みわやま の この あきかぜ を きか ざらめ や も,南京新唱,三輪の金屋にて路傍の石仏を村媼）の礼するを見て

ささやかに にぬり の たふ の たち すます このま に あそぶ やまざと の こら,南京新唱,室生寺にて

みほとけ の ひぢ まろら なる やははだ の あせ むす まで に しげる やま かな,南京新唱,室生寺にて

やまとぢ の るり の みそら に たつ くも は いづれ の てら の うへ に か も あらむ,南京新唱,汽車中

わさだ かる をとめ が とも の かかふり の しろき を み つつ みち なら に いる,南京新唱,汽車中

をじか なく ふるき みやこ の さむき よ を いへ は おもはず いにしへ おもふ に,南京新唱,奈良の宿にて

ならやま の したは の くぬぎ いろ に いでて ふるへ の さと を おもひ ぞ わが する,南京新唱,奈良の宿にて

